	Plate	Well	Frames	Well Number	Control Type	Original Gene Target
181196	LT0151_09	N21	50	333	positive control	COPB
181199	LT0151_09	N24	50	336	positive control	COPB
181215	LT0151_09	O16	50	352	negative control	
181226	LT0151_09	P3	50	363	negative control	
181244	LT0151_09	P21	50	381	positive control	COPB
181247	LT0151_09	P24	50	384	positive control	COPB
181248	LT0152_04	A1	50	1	positive control	ENSG00000149503
181251	LT0152_04	A4	50	4	positive control	ENSG00000149503
181262	LT0152_04	A15	50	15	negative control	
181273	LT0152_04	B2	50	26	negative control	
181296	LT0152_04	C1	50	49	positive control	ENSG00000149503
181299	LT0152_04	C4	50	52	positive control	ENSG00000149503
181310	LT0152_04	C15	50	63	negative control	
181321	LT0152_04	D2	50	74	negative control	
181551	LT0152_04	M16	50	304	negative control	
181562	LT0152_04	N3	50	315	negative control	
181580	LT0152_04	N21	50	333	positive control	COPB
181583	LT0152_04	N24	50	336	positive control	COPB
181599	LT0152_04	O16	50	352	negative control	
181610	LT0152_04	P3	50	363	negative control	
181628	LT0152_04	P21	50	381	positive control	COPB
181631	LT0152_04	P24	50	384	positive control	COPB
181632	LT0152_05	A1	50	1	positive control	ENSG00000149503
181635	LT0152_05	A4	50	4	positive control	ENSG00000149503
181646	LT0152_05	A15	50	15	negative control	
181657	LT0152_05	B2	50	26	negative control	
181680	LT0152_05	C1	50	49	positive control	ENSG00000149503
181683	LT0152_05	C4	50	52	positive control	ENSG00000149503
181694	LT0152_05	C15	50	63	negative control	
181705	LT0152_05	D2	50	74	negative control	
181935	LT0152_05	M16	50	304	negative control	
181946	LT0152_05	N3	50	315	negative control	
181964	LT0152_05	N21	50	333	positive control	COPB
181967	LT0152_05	N24	50	336	positive control	COPB
181983	LT0152_05	O16	50	352	negative control	
181994	LT0152_05	P3	50	363	negative control	
182012	LT0152_05	P21	50	381	positive control	COPB
182015	LT0152_05	P24	50	384	positive control	COPB
182016	LT0152_18	A1	50	1	positive control	ENSG00000149503
182019	LT0152_18	A4	50	4	positive control	ENSG00000149503
182030	LT0152_18	A15	50	15	negative control	
182041	LT0152_18	B2	50	26	negative control	
182064	LT0152_18	C1	50	49	positive control	ENSG00000149503
182067	LT0152_18	C4	50	52	positive control	ENSG00000149503
182078	LT0152_18	C15	50	63	negative control	
182089	LT0152_18	D2	50	74	negative control	
182319	LT0152_18	M16	50	304	negative control	
182330	LT0152_18	N3	50	315	negative control	
182348	LT0152_18	N21	50	333	positive control	COPB
182367	LT0152_18	O16	50	352	negative control	
182378	LT0152_18	P3	50	363	negative control	
182396	LT0152_18	P21	50	381	positive control	COPB
182399	LT0152_18	P24	50	384	positive control	COPB
182400	LT0153_01	A1	50	1	positive control	ENSG00000149503
182403	LT0153_01	A4	50	4	positive control	ENSG00000149503
182448	LT0153_01	C1	50	49	positive control	ENSG00000149503
182451	LT0153_01	C4	50	52	positive control	ENSG00000149503
182462	LT0153_01	C15	50	63	negative control	
182473	LT0153_01	D2	50	74	negative control	
182703	LT0153_01	M16	50	304	negative control	
182714	LT0153_01	N3	50	315	negative control	
182732	LT0153_01	N21	50	333	positive control	COPB
182751	LT0153_01	O16	50	352	negative control	
182762	LT0153_01	P3	50	363	negative control	
182780	LT0153_01	P21	50	381	positive control	COPB
182783	LT0153_01	P24	50	384	positive control	COPB
182784	LT0153_06	A1	50	1	positive control	ENSG00000149503
182787	LT0153_06	A4	50	4	positive control	ENSG00000149503
182798	LT0153_06	A15	50	15	negative control	
182809	LT0153_06	B2	50	26	negative control	
182832	LT0153_06	C1	50	49	positive control	ENSG00000149503
182835	LT0153_06	C4	50	52	positive control	ENSG00000149503
182846	LT0153_06	C15	50	63	negative control	
182857	LT0153_06	D2	50	74	negative control	
183087	LT0153_06	M16	50	304	negative control	
183098	LT0153_06	N3	50	315	negative control	
183116	LT0153_06	N21	50	333	positive control	COPB
183119	LT0153_06	N24	50	336	positive control	COPB
183135	LT0153_06	O16	50	352	negative control	
183146	LT0153_06	P3	50	363	negative control	
183164	LT0153_06	P21	50	381	positive control	COPB
183167	LT0153_06	P24	50	384	positive control	COPB
183168	LT0153_08	A1	50	1	positive control	ENSG00000149503
183171	LT0153_08	A4	50	4	positive control	ENSG00000149503
183182	LT0153_08	A15	50	15	negative control	
183193	LT0153_08	B2	50	26	negative control	
183216	LT0153_08	C1	50	49	positive control	ENSG00000149503
183219	LT0153_08	C4	50	52	positive control	ENSG00000149503
183230	LT0153_08	C15	50	63	negative control	
183241	LT0153_08	D2	50	74	negative control	
183471	LT0153_08	M16	50	304	negative control	
183482	LT0153_08	N3	50	315	negative control	
183500	LT0153_08	N21	50	333	positive control	COPB
183503	LT0153_08	N24	50	336	positive control	COPB
183519	LT0153_08	O16	50	352	negative control	
183530	LT0153_08	P3	50	363	negative control	
183548	LT0153_08	P21	50	381	positive control	COPB
183551	LT0153_08	P24	50	384	positive control	COPB
183552	LT0154_02	A1	50	1	positive control	ENSG00000149503
183555	LT0154_02	A4	50	4	positive control	ENSG00000149503
183566	LT0154_02	A15	50	15	negative control	
183577	LT0154_02	B2	50	26	negative control	
183600	LT0154_02	C1	50	49	positive control	ENSG00000149503
183603	LT0154_02	C4	50	52	positive control	ENSG00000149503
183614	LT0154_02	C15	50	63	negative control	
183625	LT0154_02	D2	50	74	negative control	
183855	LT0154_02	M16	50	304	negative control	
183866	LT0154_02	N3	50	315	negative control	
183884	LT0154_02	N21	50	333	positive control	COPB
183887	LT0154_02	N24	50	336	positive control	COPB
183903	LT0154_02	O16	50	352	negative control	
183914	LT0154_02	P3	50	363	negative control	
183932	LT0154_02	P21	50	381	positive control	COPB
183935	LT0154_02	P24	50	384	positive control	COPB
183936	LT0154_03	A1	50	1	positive control	ENSG00000149503
183939	LT0154_03	A4	50	4	positive control	ENSG00000149503
183950	LT0154_03	A15	50	15	negative control	
183961	LT0154_03	B2	50	26	negative control	
183984	LT0154_03	C1	50	49	positive control	ENSG00000149503
183987	LT0154_03	C4	50	52	positive control	ENSG00000149503
183998	LT0154_03	C15	50	63	negative control	
184009	LT0154_03	D2	50	74	negative control	
184239	LT0154_03	M16	50	304	negative control	
184250	LT0154_03	N3	50	315	negative control	
184268	LT0154_03	N21	50	333	positive control	COPB
184271	LT0154_03	N24	50	336	positive control	COPB
184287	LT0154_03	O16	50	352	negative control	
184298	LT0154_03	P3	50	363	negative control	
184316	LT0154_03	P21	50	381	positive control	COPB
184319	LT0154_03	P24	50	384	positive control	COPB
184320	LT0154_04	A1	50	1	positive control	ENSG00000149503
184323	LT0154_04	A4	50	4	positive control	ENSG00000149503
184334	LT0154_04	A15	50	15	negative control	
184345	LT0154_04	B2	50	26	negative control	
184368	LT0154_04	C1	50	49	positive control	ENSG00000149503
184371	LT0154_04	C4	50	52	positive control	ENSG00000149503
184382	LT0154_04	C15	50	63	negative control	
184393	LT0154_04	D2	50	74	negative control	
184623	LT0154_04	M16	50	304	negative control	
184634	LT0154_04	N3	50	315	negative control	
184652	LT0154_04	N21	50	333	positive control	COPB
184655	LT0154_04	N24	50	336	positive control	COPB
184671	LT0154_04	O16	50	352	negative control	
184682	LT0154_04	P3	50	363	negative control	
184700	LT0154_04	P21	50	381	positive control	COPB
184703	LT0154_04	P24	50	384	positive control	COPB
184704	LT0155_03	A1	50	1	positive control	ENSG00000149503
184707	LT0155_03	A4	50	4	positive control	ENSG00000149503
184718	LT0155_03	A15	50	15	negative control	
184729	LT0155_03	B2	50	26	negative control	
184752	LT0155_03	C1	50	49	positive control	ENSG00000149503
184755	LT0155_03	C4	50	52	positive control	ENSG00000149503
184766	LT0155_03	C15	50	63	negative control	
184777	LT0155_03	D2	50	74	negative control	
185007	LT0155_03	M16	50	304	negative control	
185018	LT0155_03	N3	50	315	negative control	
185036	LT0155_03	N21	50	333	positive control	COPB
185039	LT0155_03	N24	50	336	positive control	COPB
185055	LT0155_03	O16	50	352	negative control	
185066	LT0155_03	P3	50	363	negative control	
185084	LT0155_03	P21	50	381	positive control	COPB
185087	LT0155_03	P24	50	384	positive control	COPB
185088	LT0155_05	A1	50	1	positive control	ENSG00000149503
185091	LT0155_05	A4	50	4	positive control	ENSG00000149503
185102	LT0155_05	A15	50	15	negative control	
185113	LT0155_05	B2	50	26	negative control	
185136	LT0155_05	C1	50	49	positive control	ENSG00000149503
185139	LT0155_05	C4	50	52	positive control	ENSG00000149503
185150	LT0155_05	C15	50	63	negative control	
185161	LT0155_05	D2	50	74	negative control	
185391	LT0155_05	M16	50	304	negative control	
185402	LT0155_05	N3	50	315	negative control	
185420	LT0155_05	N21	50	333	positive control	COPB
185423	LT0155_05	N24	50	336	positive control	COPB
185439	LT0155_05	O16	50	352	negative control	
185450	LT0155_05	P3	50	363	negative control	
185468	LT0155_05	P21	50	381	positive control	COPB
185471	LT0155_05	P24	50	384	positive control	COPB
185856	LT0156_07	A1	50	1	positive control	ENSG00000149503
185859	LT0156_07	A4	50	4	positive control	ENSG00000149503
185870	LT0156_07	A15	50	15	negative control	
185881	LT0156_07	B2	50	26	negative control	
185904	LT0156_07	C1	50	49	positive control	ENSG00000149503
185907	LT0156_07	C4	50	52	positive control	ENSG00000149503
185918	LT0156_07	C15	50	63	negative control	
185929	LT0156_07	D2	50	74	negative control	
186159	LT0156_07	M16	50	304	negative control	
186170	LT0156_07	N3	50	315	negative control	
186188	LT0156_07	N21	50	333	positive control	COPB
186191	LT0156_07	N24	50	336	positive control	COPB
186207	LT0156_07	O16	50	352	negative control	
186218	LT0156_07	P3	50	363	negative control	
186236	LT0156_07	P21	50	381	positive control	COPB
186239	LT0156_07	P24	50	384	positive control	COPB
186243	LT0156_08	A4	50	4	positive control	ENSG00000149503
186254	LT0156_08	A15	50	15	negative control	
186265	LT0156_08	B2	50	26	negative control	
186288	LT0156_08	C1	50	49	positive control	ENSG00000149503
186291	LT0156_08	C4	50	52	positive control	ENSG00000149503
186302	LT0156_08	C15	50	63	negative control	
186313	LT0156_08	D2	50	74	negative control	
186543	LT0156_08	M16	50	304	negative control	
186554	LT0156_08	N3	50	315	negative control	
186572	LT0156_08	N21	50	333	positive control	COPB
186575	LT0156_08	N24	50	336	positive control	COPB
186591	LT0156_08	O16	50	352	negative control	
186602	LT0156_08	P3	50	363	negative control	
186620	LT0156_08	P21	50	381	positive control	COPB
186623	LT0156_08	P24	50	384	positive control	COPB
186624	LT0156_09	A1	50	1	positive control	ENSG00000149503
186627	LT0156_09	A4	50	4	positive control	ENSG00000149503
186638	LT0156_09	A15	50	15	negative control	
186649	LT0156_09	B2	50	26	negative control	
186672	LT0156_09	C1	50	49	positive control	ENSG00000149503
186675	LT0156_09	C4	50	52	positive control	ENSG00000149503
186686	LT0156_09	C15	50	63	negative control	
186697	LT0156_09	D2	50	74	negative control	
186927	LT0156_09	M16	50	304	negative control	
186938	LT0156_09	N3	50	315	negative control	
186956	LT0156_09	N21	50	333	positive control	COPB
186959	LT0156_09	N24	50	336	positive control	COPB
186975	LT0156_09	O16	50	352	negative control	
186986	LT0156_09	P3	50	363	negative control	
187004	LT0156_09	P21	50	381	positive control	COPB
187007	LT0156_09	P24	50	384	positive control	COPB
187008	LT0157_04	A1	50	1	positive control	ENSG00000149503
187011	LT0157_04	A4	50	4	positive control	ENSG00000149503
187022	LT0157_04	A15	50	15	negative control	
187033	LT0157_04	B2	50	26	negative control	
187056	LT0157_04	C1	50	49	positive control	ENSG00000149503
187059	LT0157_04	C4	50	52	positive control	ENSG00000149503
187070	LT0157_04	C15	50	63	negative control	
187081	LT0157_04	D2	50	74	negative control	
187311	LT0157_04	M16	50	304	negative control	
187322	LT0157_04	N3	50	315	negative control	
187340	LT0157_04	N21	50	333	positive control	COPB
187343	LT0157_04	N24	50	336	positive control	COPB
187359	LT0157_04	O16	50	352	negative control	
187370	LT0157_04	P3	50	363	negative control	
187388	LT0157_04	P21	50	381	positive control	COPB
187391	LT0157_04	P24	50	384	positive control	COPB
187392	LT0157_05	A1	50	1	positive control	ENSG00000149503
187395	LT0157_05	A4	50	4	positive control	ENSG00000149503
187406	LT0157_05	A15	50	15	negative control	
187417	LT0157_05	B2	50	26	negative control	
187440	LT0157_05	C1	50	49	positive control	ENSG00000149503
187443	LT0157_05	C4	50	52	positive control	ENSG00000149503
187454	LT0157_05	C15	50	63	negative control	
187465	LT0157_05	D2	50	74	negative control	
187695	LT0157_05	M16	50	304	negative control	
187706	LT0157_05	N3	50	315	negative control	
187724	LT0157_05	N21	50	333	positive control	COPB
187727	LT0157_05	N24	50	336	positive control	COPB
187743	LT0157_05	O16	50	352	negative control	
187754	LT0157_05	P3	50	363	negative control	
187772	LT0157_05	P21	50	381	positive control	COPB
187775	LT0157_05	P24	50	384	positive control	COPB
187776	LT0157_07	A1	50	1	positive control	ENSG00000149503
187779	LT0157_07	A4	50	4	positive control	ENSG00000149503
187790	LT0157_07	A15	50	15	negative control	
187801	LT0157_07	B2	50	26	negative control	
187824	LT0157_07	C1	50	49	positive control	ENSG00000149503
187827	LT0157_07	C4	50	52	positive control	ENSG00000149503
187838	LT0157_07	C15	50	63	negative control	
187849	LT0157_07	D2	50	74	negative control	
188079	LT0157_07	M16	50	304	negative control	
188090	LT0157_07	N3	50	315	negative control	
188108	LT0157_07	N21	50	333	positive control	COPB
188111	LT0157_07	N24	50	336	positive control	COPB
188127	LT0157_07	O16	50	352	negative control	
188138	LT0157_07	P3	50	363	negative control	
188156	LT0157_07	P21	50	381	positive control	COPB
188159	LT0157_07	P24	50	384	positive control	COPB
188160	LT0158_01	A1	50	1	positive control	ENSG00000149503
188163	LT0158_01	A4	50	4	positive control	ENSG00000149503
188174	LT0158_01	A15	50	15	negative control	
188185	LT0158_01	B2	50	26	negative control	
188208	LT0158_01	C1	50	49	positive control	ENSG00000149503
188211	LT0158_01	C4	50	52	positive control	ENSG00000149503
188222	LT0158_01	C15	50	63	negative control	
188233	LT0158_01	D2	50	74	negative control	
188463	LT0158_01	M16	50	304	negative control	
188474	LT0158_01	N3	50	315	negative control	
188492	LT0158_01	N21	50	333	positive control	COPB
188495	LT0158_01	N24	50	336	positive control	COPB
188511	LT0158_01	O16	50	352	negative control	
188522	LT0158_01	P3	50	363	negative control	
188540	LT0158_01	P21	50	381	positive control	COPB
188543	LT0158_01	P24	50	384	positive control	COPB
188544	LT0158_03	A1	50	1	positive control	ENSG00000149503
188547	LT0158_03	A4	50	4	positive control	ENSG00000149503
188558	LT0158_03	A15	50	15	negative control	
188569	LT0158_03	B2	50	26	negative control	
188592	LT0158_03	C1	50	49	positive control	ENSG00000149503
188595	LT0158_03	C4	50	52	positive control	ENSG00000149503
188606	LT0158_03	C15	50	63	negative control	
188617	LT0158_03	D2	50	74	negative control	
188847	LT0158_03	M16	50	304	negative control	
188858	LT0158_03	N3	50	315	negative control	
188876	LT0158_03	N21	50	333	positive control	COPB
188879	LT0158_03	N24	50	336	positive control	COPB
188895	LT0158_03	O16	50	352	negative control	
188906	LT0158_03	P3	50	363	negative control	
188924	LT0158_03	P21	50	381	positive control	COPB
188927	LT0158_03	P24	50	384	positive control	COPB
188928	LT0158_05	A1	50	1	positive control	ENSG00000149503
188931	LT0158_05	A4	50	4	positive control	ENSG00000149503
188942	LT0158_05	A15	50	15	negative control	
188953	LT0158_05	B2	50	26	negative control	
188976	LT0158_05	C1	50	49	positive control	ENSG00000149503
188979	LT0158_05	C4	50	52	positive control	ENSG00000149503
188990	LT0158_05	C15	50	63	negative control	
189001	LT0158_05	D2	50	74	negative control	
189231	LT0158_05	M16	50	304	negative control	
189242	LT0158_05	N3	50	315	negative control	
189260	LT0158_05	N21	50	333	positive control	COPB
189263	LT0158_05	N24	50	336	positive control	COPB
189279	LT0158_05	O16	50	352	negative control	
189290	LT0158_05	P3	50	363	negative control	
189308	LT0158_05	P21	50	381	positive control	COPB
189311	LT0158_05	P24	50	384	positive control	COPB
189312	LT0159_17	A1	50	1	positive control	ENSG00000149503
189315	LT0159_17	A4	50	4	positive control	ENSG00000149503
189326	LT0159_17	A15	50	15	negative control	negative control
189337	LT0159_17	B2	50	26	negative control	
189360	LT0159_17	C1	50	49	positive control	ENSG00000149503
189374	LT0159_17	C15	50	63	negative control	
189615	LT0159_17	M16	50	304	negative control	negative control
189626	LT0159_17	N3	50	315	negative control	
189647	LT0159_17	N24	50	336	positive control	COPB
189663	LT0159_17	O16	50	352	negative control	
189692	LT0159_17	P21	50	381	positive control	COPB
189696	LT0159_49	A1	50	1	positive control	ENSG00000149503
189699	LT0159_49	A4	50	4	positive control	ENSG00000149503
189710	LT0159_49	A15	50	15	negative control	negative control
189721	LT0159_49	B2	50	26	negative control	
189744	LT0159_49	C1	50	49	positive control	ENSG00000149503
189758	LT0159_49	C15	50	63	negative control	
189999	LT0159_49	M16	50	304	negative control	negative control
190010	LT0159_49	N3	50	315	negative control	
190031	LT0159_49	N24	50	336	positive control	COPB
190047	LT0159_49	O16	50	352	negative control	
